[22/02/2021 21:28:07] INFO:timings_list.py:Produce the list of all the run times in the MySQL database
2021-02-18 04:30:46 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000029.gz                      |     0.00|     0.00|     0.00|{"index": "000029", "cadence": 900, "size": 0.20000000000000004}
2021-02-18 04:30:46 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000028.gz                      |     0.05|     0.02|     0.02|{"index": "000028", "cadence": 900, "size": 0.18037107446454081}
2021-02-18 04:30:46 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000029.gz                      |     0.06|     0.02|     0.02|{"index": "000029", "cadence": 900, "size": 0.20000000000000004}
2021-02-18 04:30:46 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000028.gz                      |    12.53|     9.35|   193.95|{"index": "000028", "cadence": 900, "size": 0.18037107446454081}
2021-02-18 04:30:46 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000029.gz                      |    19.56|    10.32|   210.60|{"index": "000029", "cadence": 900, "size": 0.20000000000000004}
2021-02-18 04:30:47 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000030.gz                      |     0.03|     0.03|     0.03|{"index": "000030", "cadence": 25, "size": 0.01}
2021-02-18 04:30:47 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000030.gz                      |     0.76|     0.71|     0.71|{"index": "000030", "cadence": 25, "size": 0.01}
2021-02-18 04:30:47 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000031.gz                      |     0.03|     0.03|     0.03|{"index": "000031", "cadence": 25, "size": 0.011088252403758783}
2021-02-18 04:30:48 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000031.gz                      |     0.75|     0.70|     0.70|{"index": "000031", "cadence": 25, "size": 0.011088252403758783}
2021-02-18 04:30:48 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000030.gz                      |   931.36|   863.63|  4036.45|{"index": "000030", "cadence": 25, "size": 0.01}
2021-02-18 04:30:48 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000032.gz                      |     0.03|     0.03|     0.03|{"index": "000032", "cadence": 25, "size": 0.012294934136946248}
2021-02-18 04:30:48 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000032.gz                      |     0.74|     0.71|     0.71|{"index": "000032", "cadence": 25, "size": 0.012294934136946248}
2021-02-18 04:30:48 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000031.gz                      |   357.88|   293.99|  3087.93|{"index": "000031", "cadence": 25, "size": 0.011088252403758783}
2021-02-18 04:30:49 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000032.gz                      |   425.89|   364.05|  3129.91|{"index": "000032", "cadence": 25, "size": 0.012294934136946248}
2021-02-18 04:30:50 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000033.gz                      |     0.03|     0.03|     0.03|{"index": "000033", "cadence": 25, "size": 0.013632933299805016}
2021-02-18 04:30:50 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000033.gz                      |     0.87|     0.73|     0.73|{"index": "000033", "cadence": 25, "size": 0.013632933299805016}
2021-02-18 04:30:51 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000033.gz                      |   502.43|   440.74|  3108.78|{"index": "000033", "cadence": 25, "size": 0.013632933299805016}
2021-02-18 04:30:59 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000034.gz                      |     0.03|     0.03|     0.03|{"index": "000034", "cadence": 25, "size": 0.01511654054318462}
2021-02-18 04:30:59 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000034.gz                      |     0.73|     0.68|     0.68|{"index": "000034", "cadence": 25, "size": 0.01511654054318462}
2021-02-18 04:31:00 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000034.gz                      |   540.30|   477.83|  3232.60|{"index": "000034", "cadence": 25, "size": 0.01511654054318462}
2021-02-18 04:31:06 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000035.gz                      |     0.03|     0.03|     0.03|{"index": "000035", "cadence": 25, "size": 0.016761601701448397}
2021-02-18 04:31:06 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000035.gz                      |     0.77|     0.73|     0.73|{"index": "000035", "cadence": 25, "size": 0.016761601701448397}
2021-02-18 04:31:07 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000035.gz                      |   416.95|   352.70|  3368.73|{"index": "000035", "cadence": 25, "size": 0.016761601701448397}
2021-02-18 04:36:47 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000036.gz                      |     0.04|     0.04|     0.04|{"index": "000036", "cadence": 25, "size": 0.018585687035693257}
2021-02-18 04:36:47 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000036.gz                      |     0.73|     0.70|     0.70|{"index": "000036", "cadence": 25, "size": 0.018585687035693257}
2021-02-18 04:36:48 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000036.gz                      |   387.38|   324.71|  3024.80|{"index": "000036", "cadence": 25, "size": 0.018585687035693257}
2021-02-18 04:37:55 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000037.gz                      |     0.04|     0.04|     0.04|{"index": "000037", "cadence": 25, "size": 0.02060827889490342}
2021-02-18 04:37:56 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000037.gz                      |     0.72|     0.68|     0.68|{"index": "000037", "cadence": 25, "size": 0.02060827889490342}
2021-02-18 04:37:57 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000037.gz                      |   932.29|   866.87|  3593.96|{"index": "000037", "cadence": 25, "size": 0.02060827889490342}
2021-02-18 04:38:05 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000038.gz                      |     0.04|     0.04|     0.04|{"index": "000038", "cadence": 25, "size": 0.022850979799374435}
