[21/02/2021 02:09:42] INFO:timings_list.py:Produce the list of all the run times in the MySQL database
2021-02-18 04:35:41 |tls_timing_long_periods             |psls_synthesis    |ttlp_000006.gz                                |     2.96|     1.11|     5.72|{"index": "000006", "cadence": 25, "lc_length": 84}
2021-02-18 04:35:44 |tls_timing_long_periods             |transit_detection |ttlp_000006.gz                                |   563.17|   210.23|  6264.69|{"index": "000006", "cadence": 25, "lc_length": 84}
2021-02-18 04:45:07 |tls_timing_long_periods             |psls_synthesis    |ttlp_000007.gz                                |     3.94|     1.53|     6.68|{"index": "000007", "cadence": 25, "lc_length": 112}
2021-02-18 04:45:11 |tls_timing_long_periods             |transit_detection |ttlp_000007.gz                                |  1012.36|   351.88| 11503.26|{"index": "000007", "cadence": 25, "lc_length": 112}
2021-02-18 05:02:04 |tls_timing_long_periods             |psls_synthesis    |ttlp_000008.gz                                |     5.68|     2.29|     8.44|{"index": "000008", "cadence": 25, "lc_length": 168}
2021-02-18 05:02:09 |tls_timing_long_periods             |transit_detection |ttlp_000008.gz                                |  2405.72|  1088.88| 27082.79|{"index": "000008", "cadence": 25, "lc_length": 168}
2021-02-18 05:42:15 |tls_timing_long_periods             |psls_synthesis    |ttlp_000009.gz                                |     8.39|     3.45|    11.16|{"index": "000009", "cadence": 25, "lc_length": 252}
2021-02-18 05:42:24 |tls_timing_long_periods             |transit_detection |ttlp_000009.gz                                |   420.80|   269.39|  2349.02|{"index": "000009", "cadence": 25, "lc_length": 252}
2021-02-18 05:49:24 |tls_timing_long_periods             |psls_synthesis    |ttlp_000010.gz                                |    13.19|     4.97|    15.53|{"index": "000010", "cadence": 25, "lc_length": 365.25}
2021-02-18 05:49:38 |tls_timing_long_periods             |transit_detection |ttlp_000010.gz                                |   954.26|   326.95|  8901.87|{"index": "000010", "cadence": 25, "lc_length": 365.25}
2021-02-18 06:05:32 |tls_timing_long_periods             |psls_synthesis    |ttlp_000011.gz                                |    26.44|     9.88|    29.24|{"index": "000011", "cadence": 25, "lc_length": 730.5}
2021-02-18 06:05:58 |tls_timing_long_periods             |transit_detection |ttlp_000011.gz                                |  5804.48|  1841.11| 56153.69|{"index": "000011", "cadence": 25, "lc_length": 730.5}
2021-02-18 07:42:43 |bls_timing_long_periods             |psls_synthesis    |btlp_000000.gz                                |     0.53|     0.04|     3.37|{"index": "000000", "cadence": 900, "lc_length": 84}
2021-02-18 07:42:43 |bls_timing_long_periods             |transit_detection |btlp_000000.gz                                |     0.57|     0.57|     0.57|{"index": "000000", "cadence": 900, "lc_length": 84}
2021-02-18 07:42:44 |bls_timing_long_periods             |psls_synthesis    |btlp_000001.gz                                |     0.56|     0.05|     3.35|{"index": "000001", "cadence": 900, "lc_length": 112}
2021-02-18 07:42:45 |bls_timing_long_periods             |transit_detection |btlp_000001.gz                                |     0.64|     0.64|     0.64|{"index": "000001", "cadence": 900, "lc_length": 112}
2021-02-18 07:42:45 |bls_timing_long_periods             |psls_synthesis    |btlp_000002.gz                                |     0.60|     0.07|     3.38|{"index": "000002", "cadence": 900, "lc_length": 168}
2021-02-18 07:42:46 |bls_timing_long_periods             |transit_detection |btlp_000002.gz                                |     0.22|     0.22|     0.22|{"index": "000002", "cadence": 900, "lc_length": 168}
2021-02-18 07:42:46 |bls_timing_long_periods             |psls_synthesis    |btlp_000003.gz                                |     0.67|     0.10|     3.22|{"index": "000003", "cadence": 900, "lc_length": 252}
2021-02-18 07:42:47 |bls_timing_long_periods             |transit_detection |btlp_000003.gz                                |     2.39|     2.39|     2.39|{"index": "000003", "cadence": 900, "lc_length": 252}
2021-02-18 07:42:49 |bls_timing_long_periods             |psls_synthesis    |btlp_000004.gz                                |     0.72|     0.14|     3.16|{"index": "000004", "cadence": 900, "lc_length": 365.25}
2021-02-18 07:42:50 |bls_timing_long_periods             |transit_detection |btlp_000004.gz                                |    10.77|    10.77|    10.77|{"index": "000004", "cadence": 900, "lc_length": 365.25}
2021-02-18 07:43:01 |bls_timing_long_periods             |psls_synthesis    |btlp_000005.gz                                |     1.05|     0.27|     3.79|{"index": "000005", "cadence": 900, "lc_length": 730.5}
2021-02-18 07:43:02 |bls_timing_long_periods             |transit_detection |btlp_000005.gz                                |    90.03|    90.03|    90.03|{"index": "000005", "cadence": 900, "lc_length": 730.5}
